"classification","outcome","code","sum_ESP","SEX","sum_sum_events","IR_std","Low_std","High_std"
"snomed","death28d","Central/South/Latin American",66500,"1","<10",178.47,153.737,206.156
"snomed","death28d","Filipino",66500,"1","15",57.339,43.899,73.669
"snomed","death28d","Iranian",66500,"1","10",33.352,23.419,46.173
"snomed","death28d","Jewish",66500,"1","15",37.002,26.47,50.424
"snomed","death28d","Middle Eastern*",66500,"1","<10",35.983,25.214,48.677
"snomed","death28d","Nigerian",66500,"1","<10",137.014,115.937,161.956
"snomed","death28d","Punjabi",66500,"1","<10",20.678,12.999,30.888
"snomed","death28d","Somali",66500,"1","25",89.946,72.768,110.015
"snomed","death28d","Turkish or Turkish Cypriot",66500,"1","60",77.574,61.719,96.32
"snomed","death28d","Central/South/Latin American",66500,"2","10",55.239,42.072,71.296
"snomed","death28d","Filipino",66500,"2","15",40.253,29.21,54.185
"snomed","death28d","Iranian",66500,"2","<10",10.234,5.491,18.39
"snomed","death28d","Jewish",66500,"2","10",25.674,17.12,37.114
"snomed","death28d","Middle Eastern*",66500,"2","<10",29.411,20.241,41.649
"snomed","death28d","Nigerian",66500,"2","<10",37.653,26.891,51
"snomed","death28d","Punjabi",66500,"2","10",29.244,20.027,41.348
"snomed","death28d","Somali",66500,"2","15",34.139,24.074,47.092
"snomed","death28d","Turkish or Turkish Cypriot",66500,"2","30",36.255,25.843,49.556
"snomed","death90d","Central/South/Latin American",66500,"1","10",153.159,130.323,178.888
"snomed","death90d","Filipino",66500,"1","20",20.736,13.18,31.177
"snomed","death90d","Iranian",66500,"1","10",11.927,6.5,20.23
"snomed","death90d","Jewish",66500,"1","15",12.664,7.035,21.172
"snomed","death90d","Middle Eastern*",66500,"1","<10",12.273,6.922,20.962
"snomed","death90d","Nigerian",66500,"1","10",118.99,99.026,141.846
"snomed","death90d","Punjabi",66500,"1","<10",7.316,3.454,14.423
"snomed","death90d","Somali",66500,"1","30",33.141,23.244,45.926
"snomed","death90d","Turkish or Turkish Cypriot",66500,"1","70",30.454,21.021,42.774
"snomed","death90d","Central/South/Latin American",66500,"2","10",19.73,12.391,29.952
"snomed","death90d","Filipino",66500,"2","15",13.84,7.898,22.66
"snomed","death90d","Iranian",66500,"2","<10",3.383,1.09,8.767
"snomed","death90d","Jewish",66500,"2","10",10.734,5.649,18.695
"snomed","death90d","Middle Eastern*",66500,"2","<10",11.362,6.201,19.682
"snomed","death90d","Nigerian",66500,"2","<10",13.818,7.654,22.23
"snomed","death90d","Punjabi",66500,"2","10",10.102,5.205,17.874
"snomed","death90d","Somali",66500,"2","20",13.126,7.372,21.758
"snomed","death90d","Turkish or Turkish Cypriot",66500,"2","35",13.489,7.64,22.218
"snomed","post_covid_cvd_event_1y","Central/South/Latin American",66500,"1","40",20.226,12.779,30.557
"snomed","post_covid_cvd_event_1y","Filipino",66500,"1","50",12.96,7.251,21.548
"snomed","post_covid_cvd_event_1y","Iranian",66500,"1","50",12.552,6.953,21.029
"snomed","post_covid_cvd_event_1y","Jewish",66500,"1","65",19.009,11.829,29.072
"snomed","post_covid_cvd_event_1y","Middle Eastern*",66500,"1","40",19.375,12.114,29.52
"snomed","post_covid_cvd_event_1y","Nigerian",66500,"1","30",10.846,5.728,18.84
"snomed","post_covid_cvd_event_1y","Punjabi",66500,"1","40",14.028,8.038,22.898
"snomed","post_covid_cvd_event_1y","Somali",66500,"1","60",16.597,9.972,26.105
"snomed","post_covid_cvd_event_1y","Turkish or Turkish Cypriot",66500,"1","245",25.065,21.926,28.203
"snomed","post_covid_cvd_event_1y","Central/South/Latin American",66500,"2","25",6.132,2.575,12.551
"snomed","post_covid_cvd_event_1y","Filipino",66500,"2","40",7.452,3.414,14.359
"snomed","post_covid_cvd_event_1y","Iranian",66500,"2","25",11.509,6.2,19.694
"snomed","post_covid_cvd_event_1y","Jewish",66500,"2","30",9.949,5.098,17.674
"snomed","post_covid_cvd_event_1y","Middle Eastern*",66500,"2","15",11.804,6.412,20.073
"snomed","post_covid_cvd_event_1y","Nigerian",66500,"2","25",7.224,3.266,14.05
"snomed","post_covid_cvd_event_1y","Punjabi",66500,"2","25",6.746,2.96,13.398
"snomed","post_covid_cvd_event_1y","Somali",66500,"2","40",6.268,2.659,12.739
"snomed","post_covid_cvd_event_1y","Turkish or Turkish Cypriot",66500,"2","135",13.439,11.155,15.723
"snomed","post_covid_cvd_event_30d","Central/South/Latin American",66500,"1","10",62.258,48.197,79.211
"snomed","post_covid_cvd_event_30d","Filipino",66500,"1","20",66.693,52.091,84.185
"snomed","post_covid_cvd_event_30d","Iranian",66500,"1","20",41.759,30.486,55.92
"snomed","post_covid_cvd_event_30d","Jewish",66500,"1","20",48.198,35.988,63.298
"snomed","post_covid_cvd_event_30d","Middle Eastern*",66500,"1","10",34.808,24.633,47.873
"snomed","post_covid_cvd_event_30d","Nigerian",66500,"1","<10",29.17,20.241,41.649
"snomed","post_covid_cvd_event_30d","Punjabi",66500,"1","15",39.179,28.302,52.945
"snomed","post_covid_cvd_event_30d","Somali",66500,"1","25",62.149,48.101,79.088
"snomed","post_covid_cvd_event_30d","Turkish or Turkish Cypriot",66500,"1","105",93.162,75.257,111.068
"snomed","post_covid_cvd_event_30d","Central/South/Latin American",66500,"2","<10",19.606,12.216,29.671
"snomed","post_covid_cvd_event_30d","Filipino",66500,"2","10",22.977,14.955,33.884
"snomed","post_covid_cvd_event_30d","Iranian",66500,"2","<10",27.182,18.606,39.284
"snomed","post_covid_cvd_event_30d","Jewish",66500,"2","15",35.51,25.219,48.69
"snomed","post_covid_cvd_event_30d","Middle Eastern*",66500,"2","<10",73.526,58.106,91.787
"snomed","post_covid_cvd_event_30d","Nigerian",66500,"2","<10",32.057,22.716,45.174
"snomed","post_covid_cvd_event_30d","Punjabi",66500,"2","10",30.053,20.691,42.302
"snomed","post_covid_cvd_event_30d","Somali",66500,"2","15",21.473,13.761,32.07
"snomed","post_covid_cvd_event_30d","Turkish or Turkish Cypriot",66500,"2","50",44.177,32.545,58.699
